,Title,Links,Description,Present Prices,Old Price,From
2294,"Dell Inspiron 7490 **10 GEN** Laptop Silver ( I5-10210U, 8GB, 256GB, Intel, W10 )",https://computermania.com.bd/product/dell-inspiron-7490-price-in-bd/,," 106,000",,ComputerMania-
2295,"Dell Latitude L3410 | 2020 Model | 14” Laptop ( i5-10210U, 8GB, 512GB SSD, Intel, W10P )",https://computermania.com.bd/product/dell-latitude-l3410-price/,," 88,000",,ComputerMania-
2296,HP K5Q03AA 17.3 inch Omen Gaming Laptop Backpack Black,https://computermania.com.bd/product/hp-omen-gaming-backpack-price-in-bd/,," 5,500",,ComputerMania-
2297,"HP Laptop 15t | 2021 Model | 15.6 inch FHD Display Non Touch Laptop ( i7-1165G7, 8GB, 256GB SSD, Intel, W10 )",https://computermania.com.bd/product/hp-laptop-15t/,," 77,000"," 82,500",ComputerMania-
2298,"HP Pavilion 13-bb0071TU | 2021 Model | 13.3” FHD Laptop ( i7-1165G7, 16GB, 512GB SSD, Intel, W10 )",https://computermania.com.bd/product/hp-pavilion-13-price-in-bd/,," 77,000"," 82,500",ComputerMania-
2299,"HP Pavilion 13-bb0071TU | 2021 Model | 13.3” FHD Laptop Golden ( i5-1135G7, 8GB, 512GB SSD, Intel, W10 )",https://computermania.com.bd/product/hp-pavilion-13-11th-gen-price/,," 77,000"," 82,500",ComputerMania-
2300,"HP Pavilion 14 dv0058TU | 2021 Model | 14” FHD Laptop ( I7-1165G7, 16GB, 1TBGB SSD, Intel, W10 )",https://computermania.com.bd/product/hp-pavilion-14-11th-gen-price-in-bd/,," 102,000"," 107,500",ComputerMania-
2301,"HP Pavilion 14 | 2022 Model | 14″ FHD Display Laptop ( i7-1265G7, 8GB, 512GB SSD, Intel, W11 )",https://computermania.com.bd/product/hp-pavilion-14-12th-gen-price/,," 102,000"," 107,500",ComputerMania-
2302,"HP Pavilion 14 | 2021 Model | 14″ FHD Laptop Tranquil Pink ( I7-1165G7, 8GB, 512GB SSD, MX450 2GB, W10, HS )",https://computermania.com.bd/product/hp-pavilion-14-price/,," 102,000"," 107,500",ComputerMania-
2303,"HP Pavilion 14 || FHD IPS Laptop ( i5-1035G1, 8GB, 512GB SSD, MX250, W10 )",https://computermania.com.bd/product/hp-pavilion-14-price-in-bd/,," 82,900"," 86,500",ComputerMania-
2304,"HP Pavilion 14-Dv1007TX | 2022 Model | 14″ FHD Laptop Natural Silver ( I5-1155G7, 8GB, 512GB SSD, MX450 2GB, W11, HS )",https://computermania.com.bd/product/hp-pavilion-14-dv1007tx/,," 97,000",,ComputerMania-
2305,"HP Pavilion 15 | 2022 Model | 14″ FHD Display Laptop ( i7-1265G7, 8GB, 512GB SSD, Intel, W11 )",https://computermania.com.bd/product/hp-pavilion-15-12th-gen-price/,," 320,000",,ComputerMania-
2306,"Microsoft Surface Book 3 2020 15-inch **Detachable Laptop** ( i7-1065G7, 32GB, 1TB, Quadro RTX™ 3000, W10P)",https://computermania.com.bd/product/surface-book-3/,," 320,000",,ComputerMania-
2307,"Microsoft Surface Laptop 3 (i5-1035G7, 8GB, 256GB SSD, Intel, W10 )",https://computermania.com.bd/product/microsoft-surface-laptop-3-in-bd/,," 121,900"," 133,900",ComputerMania-
2308,"Microsoft Surface Laptop 3 Platinum Metal ( I5-1035G7, 8GB, 128GB SSD, Intel, W10 )",https://computermania.com.bd/product/surface-laptop-3-price-in-bangladesh/,," 105,900"," 118,900",ComputerMania-
2309,"Microsoft Surface Laptop 4 | 2021 Model | 13.5 inch FHD Display ( i5-1135G7, 8GB, 256GB SSD, Intel, W10 )",https://computermania.com.bd/product/microsoft-surface-laptop-4-price-in-bd/,," 199,000",,ComputerMania-
2310,"Microsoft Surface Laptop 4 | 2021 Model | 13.5 inch FHD Display ( i7-1185G7, 16GB, 512GB SSD, Intel, W10 )",https://computermania.com.bd/product/microsoft-surface-laptop-4-price/,," 199,000",,ComputerMania-
2311,"Microsoft Surface Laptop 4 | 2021 Model | 13.5 inch FHD Display ( Ryzen™ 5 4680U, 8GB, 256GB SSD, Intel, W10 )",https://computermania.com.bd/product/surface-laptop-4-price-in-bangladesh/,," 116,500"," 127,000",ComputerMania-
2312,"Microsoft Surface Laptop 4 | 2021 Model | 15 inch FHD Display ( i7-1185G7, 16GB, 512GB SSD, Intel, W10 )",https://computermania.com.bd/product/surface-laptop-4-price-in-bd/,," 78,900",,ComputerMania-
2313,"Microsoft Surface Laptop 4 | 2021 Model | 15 inch FHD Display ( Ryzen™ 7 4980U, 16GB, 512GB SSD, Intel, W10 )",https://computermania.com.bd/product/surface-laptop-4-price/,," 78,900",,ComputerMania-
2314,"Microsoft Surface Laptop 5 | 2022 Model | 13.5″ QHD Display Touch Laptop ( i5-1235G7, 16GB, 512GB SSD, Intel, W10 )",https://computermania.com.bd/product/microsoft-surface-laptop-5-price-in-bd/,," 78,900",,ComputerMania-
2315,"Microsoft Surface Laptop Studio | 2021 Model |  14.4” 2k Display touch display ( i5-11300H, 16GB , 512GB SSD, Intel, W10 )",https://computermania.com.bd/product/microsoft-surface-studio-price-in-bd/,," 78,900",,ComputerMania-
2316,"Microsoft Surface Laptop Studio | 2021 Model |  14.4” 2k Display touch display ( i7-11370H, 32GB, 1TB SSD, RTX™3050Ti, W10 )",https://computermania.com.bd/product/microsoft-surface-studio-price/,," 78,900",,ComputerMania-
2317,"Microsoft Surface Pro 7 ( i3-1005G1, 4GB, 128GB, Intel UHD Graphics, W10 )",https://computermania.com.bd/product/surface-pro-7-price-in-bd/,," 78,900",,ComputerMania-
2318,"Razer Blade 14 | 2021 Model  | 14″ QHD 165Hz Gaming Laptop ( Ryzen 9 5900HX, 16GB, 1TB SSD, RTX 3070 8GB, W10 )",https://computermania.com.bd/product/razer-blade-14-price/,," 245,000"," 265,000",ComputerMania-
2319,"Razer Blade 15 Advanced Model | 2022 Model | 15.6″ UHD 144Hz Display Gaming Laptop ( i9-12900H, 32GB, 1TB SSD, RTX 3080Ti 16GB, W11 )",https://computermania.com.bd/product/2022-razer-blade-15-advanced-model/,," 123,900"," 133,900",ComputerMania-
2320,"Samsung Galaxy Book Pro | 2021 Model | 15.6″ AMOLED Display Laptop ( i7-1165G7, 16GB, 512GB SSD, Intel, W10 )",https://computermania.com.bd/product/samsung-galaxy-book-pro-price-in-bd/,," 123,900"," 133,900",ComputerMania-
2321,"2020 Apple Macbook Air 13 (i3 1.1Ghz, 8GB, 256GB, Intel Iris Plus Graphics, MacOS)",https://computermania.com.bd/product/macbook-air-2020-model/,," 99,900"," 109,000",ComputerMania-
2322,"2020 Apple Macbook Air 13 (i5 1.1Ghz, 8GB, 512GB, Intel Iris Plus Graphics, MacOS)",https://computermania.com.bd/product/2020-macbook-air-in-bd/,," 129,900"," 136,000",ComputerMania-
2323,"2020 Apple Macbook Pro 13 (core i5, 16GB, 512GB Intel Iris Plus 655, macOS)",https://computermania.com.bd/product/2020-macbook-pro-13-in-bangladesh/,," 178,900"," 192,000",ComputerMania-
2324,"2020 Apple Macbook Pro 13 (core i7, 16GB, 1TB SSD, Intel Iris Plus 655, macOS)",https://computermania.com.bd/product/macbook-pro-2020/,," 25,500",,ComputerMania-
2325,Acer 24.5” FHD Gaming Monitor VGA + Dual HDMI + Audio out,https://computermania.com.bd/product/acer-freesync-24-5-fhd-gaming-monitor-bd/,," 25,500",,ComputerMania-
2326,"Acer Aspire 5 A514 | 2021 Model | 14” FHD Laptop Safari Gold ( I7-1165G7, 8GB, 512GB SSD, Iris Xe, W10, HS )",https://computermania.com.bd/product/acer-aspire-5-price-in-bd/,," 86,000"," 89,900",ComputerMania-
2327,"Acer Aspire 5 A514-53 | 2020 Model | 14” FHD Laptop Obsidian Black ( i5-1035G1, 8GB, 512GB SSD, MX350 2GB, W10 )",https://computermania.com.bd/product/acer-aspire-5/,," 76,500"," 82,900",ComputerMania-
2328,"Acer Aspire 5 A514-53G  | 2020 Model 14″ FHD Laptop Pure Silver ( I7-1065G7, 8GB, 512GB SSD, MX350 2GB, W10 )",https://computermania.com.bd/product/a514-53g/,," 82,900"," 87,000",ComputerMania-
2329,"Acer Aspire Vero AV15 | 2021 Model | 15.6” FHD Eco Green Laptop ( I7-1195G7, 8GB, 512GB SSD, Iris Xe, W11 )",https://computermania.com.bd/product/aspire-vero-av15-price-in-bd/,," 78,000"," 84,500",ComputerMania-
2330,Acer Entry Laptop Backpack (Acer essential backpack with minimalist design),https://computermania.com.bd/product/acer-entry-backpack-price-in-bd/,," 1,500",,ComputerMania-
2331,"Acer Nitro 5 AN515 | 2022 Model | 15.6” QHD 165Hz Gaming Laptop ( i5-12500H , 16GB, 512GB SSD, RTX3050Ti 4GB, W11 )",https://computermania.com.bd/product/acer-nitro-5-12th-gen-price-in-bd/,," 189,000"," 199,900",ComputerMania-
2332,"Acer Nitro 5 AN515 | 2022 Model | 17.3 inch FHD 144Hz Gaming Laptop ( i7-12700k , 16GB, 512GB SSD, RTX 3080 Ti, W11 )",https://computermania.com.bd/product/nitro-5-12th-gen-price-in-bd/,," 189,000"," 199,900",ComputerMania-
2333,"Acer Predator Helios 300  | 2021 Model | 15.6″ 300Hz Gaming Laptop ( i7-10870H, 16GB, 1TB SSD, RTX3070, W10 )",https://computermania.com.bd/product/acer-helios-300-2021-price-in-bd/,," 189,000"," 199,900",ComputerMania-
2334,"Acer Predator Helios 500  | 2021 Model | 15.6″ 300Hz Gaming Laptop ( i9-11th Gen, 64GB, 2TB SSD, RTX3080, W10 )",https://computermania.com.bd/product/acer-predator-helios-500-price-in-bd/,," 135,000"," 146,900",ComputerMania-
2335,"Acer Spin 3 SP313 | 2021 Model | 13.3” WQXGA Touch Laptop Pure Silver ( I5-1135G7, 8GB, 512GB SSD, Intel, W10 )",https://computermania.com.bd/product/acer-spin-3-11th-gen-price-in-bd/,," 135,000"," 146,900",ComputerMania-
2336,"Acer Spin 3 SP313 | 2021 Model | 13.3” WQXGA Touch Laptop Pure Silver ( I7-1165G7, 16GB, 512GB SSD, Intel, W10 )",https://computermania.com.bd/product/acer-spin-3-11th-gen/,," 135,000"," 146,900",ComputerMania-
2337,"Acer Spin 5 AMD | 2021 Model | 13.5” IPS Touch Display Laptop ( Ryzen™ 7 5800U, 8GB, 512GB SSD, AMD, W10 )",https://computermania.com.bd/product/acer-spin-5-2021-model-price-in-bd/,," 135,000"," 146,900",ComputerMania-
2338,"Acer Spin 5 SP513 13.5” QHD Touch Laptop Steel Grey ( I5-1035G4, 8GB, 512GB, Intel, W10 )",https://computermania.com.bd/product/acer-spin-5-sp513-price/,," 135,000"," 146,900",ComputerMania-
2339,"Acer Spin 5 SP513 | 2021 Model | 13.5” QHD Touch Display Laptop Steel Grey ( i7-1165G7, 16GB, 512GB SSD, Intel, W10 )",https://computermania.com.bd/product/acer-spin-5/,," 135,000"," 146,900",ComputerMania-
2340,"Acer Spin 5 SP513 | 2021 Model | 13.5” QHD Touch Laptop Steel Grey ( I5-1135G7, 8GB, 512GB SSD, Intel, W11 )",https://computermania.com.bd/product/acer-spin-5-price-in-bd/,," 125,000",,ComputerMania-
2341,"Acer Spin 5 SP513 | 2020 Model | 13.5” QHD Touch Laptop Steel Grey ( I7-1065G7, 16GB, 512GB SSD, Intel, W10 )",https://computermania.com.bd/product/acer-spin-5-sp513/,," 76,000"," 78,000",ComputerMania-
2342,"Acer Swift 3 SF314 ***2020 Model*** 14” FHD Laptop ( Ryzen 5 4500U, 8GB, 512GB, ATI, W10, HS )",https://computermania.com.bd/product/acer-swift-3-in-bd/,," 76,000"," 78,000",ComputerMania-
2343,"Acer Swift 3 SF314 ***2020 Model*** 14” FHD Laptop Pure Silver ( Ryzen 5 4500U, 8GB, 512GB, ATI, W10, HS )",https://computermania.com.bd/product/acer-swift-3-ryzen/,," 76,000"," 78,000",ComputerMania-
2344,"Acer Swift 3 SF314 | 2021 Model | 14” FHD Display Laptop ( I5-1135G7, 8GB, 512GB SSD, Intel, W10, HS )",https://computermania.com.bd/product/acer-swift-3-11th-gen-price/,," 84,000",,ComputerMania-
2345,"Acer Swift 3 SF314 | 2021 Model | 14” FHD Laptop Pure Silver ( I5-1135G7, 8GB, 512GB SSD, Intel, W10, HS )",https://computermania.com.bd/product/acer-swift-3-11th-gen/,," 84,500",,ComputerMania-
2346,"Acer Swift 3 SF314 | 2021 Model | 14” FHD Laptop Pure Silver ( Ryzen 7 5700U, 16GB, 512GB SSD, ATI, W10, HS )",https://computermania.com.bd/product/swift-3-price-in-bd/,," 115,000",,ComputerMania-
2347,"Acer Swift 3 SF314 | 2021 Model | 14” FHD Laptop Steam Blue ( I7-1165G7, 16GB, 512GB SSD, Intel, W10, HS )",https://computermania.com.bd/product/swift-3-11th-gen-price/,," 115,000",,ComputerMania-
2348,"Acer Swift 3 SF316 | 2021 Model | 16.1″ FHD Laptop ( i7-11370H, 16GB, 512GB SSD, Intel, W10 )",https://computermania.com.bd/product/acer-swift-3-sf316-price/,," 89,000"," 93,500",ComputerMania-
2349,"Acer Swift 3x SF314 | 2021 Model | 14” FHD Laptop Steam Blue ( I5-1135G7, 8GB, 512GB SSD, Iris Xe Max, W10, HS )",https://computermania.com.bd/product/acer-swift-3x/,," 89,000"," 93,500",ComputerMania-
2350,"Acer Swift 3X Ultra-thin | 2021 Model | 14-inch FHD laptop ( i7-1165G7, 16GB, 512GB, Intel® Iris® Xe, W10 )",https://computermania.com.bd/product/acer-swift-3x-ultra-thin/,," 109,900",,ComputerMania-
